Papel,Cotação,Tipo,Data ult cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2021,P/Ativos,Marg. Líquida,2020,P/Cap. Giro,EBIT / Ativo,2019,P/Ativ Circ Liq,ROIC,2018,Div. Yield,ROE,2017,EV / EBITDA,Liquidez Corr,2016,EV / EBIT,Div Br/ Patrim,2015,Cres. Rec (5a),Giro Ativos,Ativo,Depósitos,Cart. de Crédito,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida_12meses,Receita Líquida_3meses,EBIT_12meses,EBIT_3meses,Result Int Financ_12meses,Result Int Financ_3meses,Rec Serviços_12meses,Rec Serviços_3meses,Lucro Líquido_12meses,Lucro Líquido_3meses
TASA4,21.70,PN,03/11/2021,TAURUS ARMAS PN,7.73,Máquinas e Equipamentos,28.76,Armas e Munições,31.231.300,2541310000,30/06/2021,2966620000,117111000,5.60,3.95,5.49,6.53,7.03,3.09,0.05,3.93,45.4,181.62,1.13,28.7,40.00,1.55,28.6,162.28,5.09,39.3,47.90,-12.58,49.1,131.43,0.0,178.0,19.04,4.39,"
1.86",56.38,"4,59",1.63,NaN,26.9,1.37,1644000000,NaN,NaN,588933000,163626000,425307000,1080490000,361553000,2253200000,651042000,646685000,193220000,NaN,NaN,NaN,NaN,643419000,193631000
TCNO4,2.07,PN,03/11/2021,TECNOSOLO S/A PN,1.30,Construção e Engenharia,6.28,Engenharia Consultiva,220.408,13703400,30/06/2021,47333400,6620000,0.00,-14.49,-0.14,-1.90,61.73,0.03,-20.69,-5.25,-,18.29,-,-,38.00,0.06,0.0,6.38,-0.14,-1.1,-13.50,-0.07,-1.5,-42.81,0.0,-426.1,103.57,-15.85,"
0.29",-45.10,"-18,14",151.52,NaN,-10.6,-,235618000,NaN,NaN,33637000,7000,33630000,39894000,222000,0,0,-2610000,-284000,NaN,NaN,NaN,NaN,-946000,0
TGMA3,15.17,ON NM,03/11/2021,Tegma ON NM,15.17,Transporte,29.04,Transporte Rodoviário,8.308.990,1001270000,30/06/2021,991221000,66003000,-0.26,9.71,1.56,-0.91,1.53,9.95,-13.46,7.10,20.2,-25.40,0.93,13.1,-42.36,0.97,9.6,-27.41,3.54,13.7,44.20,7.82,18.7,45.95,5.7,15.7,166.22,6.07,"
2.31",70.56,"7,03",0.36,NaN,1.7,1.04,1028440000,NaN,NaN,234484000,244529000,-10045000,499034000,656554000,1073130000,237066000,141079000,28252000,NaN,NaN,NaN,NaN,103135000,24184000
TELB4,19.24,PN,03/11/2021,TELEBRAS PN,18.71,Telecomunicações,35.99,Telecomunicações,110.417,1305720000,30/06/2021,607145000,67865000,2.83,-11.86,-1.62,1.64,0.88,21.96,-16.35,-4.09,-80.6,-28.77,4.78,-117.0,-37.69,0.32,-40.3,6.23,1.22,-7.9,28.63,-1.02,-10.4,2.77,0.0,-7.4,3.14,-8.06,"
5.84",235.75,"-1,90",0.16,NaN,69.5,0.07,4063470000,NaN,NaN,241508000,940086000,-698578000,1293740000,1490290000,273127000,66016000,-319636000,-82133000,NaN,NaN,NaN,NaN,-110082000,-2798000
TEND3,18.83,ON NM,03/11/2021,Tenda ON NM,16.55,Construção Civil,30.60,Incorporações,30.194.900,1964800000,30/06/2021,2149600000,104344000,1.78,9.22,2.04,10.38,1.32,14.27,5.08,4.97,29.7,-31.61,0.74,15.0,-37.20,0.44,8.0,1.72,1.11,8.9,93.03,-11.26,11.6,63.60,1.8,14.3,36.37,5.02,"
2.80",0.00,"5,43",0.76,NaN,20.7,0.60,4434690000,NaN,NaN,1130040000,945235000,184802000,2764200000,1489400000,2641980000,698660000,395662000,85830000,NaN,NaN,NaN,NaN,213084000,33772000
TIMP3,13.46,ON,09/10/2020,TIM PARTICIPAÇÕES S.A. ON,12.20,Telecomunicações,16.80,Telecomunicações,0,32587100000,30/06/2020,32345800000,2421030000,0.00,17.13,0.79,0.00,1.43,9.44,0.00,9.79,56.5,0.82,1.90,19.4,0.00,0.82,11.1,-13.64,15.37,8.4,36.74,-3.78,9.7,-8.25,0.0,8.3,69.24,3.77,"
1.34",17.33,"9,72",0.14,NaN,2.3,0.43,39831200000,NaN,NaN,3088450000,3329710000,-241258000,8359060000,22847800000,17126000000,3987110000,3328920000,712559000,NaN,NaN,NaN,NaN,1902120000,260290000
TELB3,47.26,ON,03/11/2021,TELEBRAS ON,47.00,Telecomunicações,115.00,Telecomunicações,65.566,3207300000,30/06/2021,2508720000,67865000,0.55,-29.14,-1.62,-1.56,2.15,21.96,-7.70,-10.03,-80.6,-33.55,11.74,-117.0,-46.36,0.79,-40.3,-12.77,2.99,-7.9,266.34,-2.51,-10.4,-26.28,0.0,-7.4,54.93,-33.31,"
5.84",-25.19,"-7,85",0.16,NaN,69.5,0.07,4063470000,NaN,NaN,241508000,940086000,-698578000,1293740000,1490290000,273127000,66016000,-319636000,-82133000,NaN,NaN,NaN,NaN,-110082000,-2798000
VIVT3,49.64,ON,03/11/2021,TELEF BRASIL ON,39.49,Telecomunicações,49.64,Telecomunicações,125.428.000,83940500000,30/09/2021,87920200000,1690980000,6.62,17.14,2.90,9.05,1.21,41.01,15.85,15.45,45.0,25.37,1.92,12.4,11.56,0.74,11.2,2.99,57.50,4.8,25.84,-4.17,5.6,8.82,6.4,7.1,20.82,5.07,"
1.07",24.91,"16,18",0.18,NaN,0.3,0.39,113253000000,NaN,NaN,12707600000,8727810000,3979750000,23710200000,69350500000,43724500000,11033300000,5432520000,1299320000,NaN,NaN,NaN,NaN,4897640000,1317770000
VIVT4,45.34,PN,20/11/2020,TELEF BRASIL PN,42.33,Telecomunicações,46.69,Telecomunicações,0,76669300000,30/09/2021,80649000000,1690980000,0.00,15.65,2.90,0.00,1.11,41.01,0.00,14.11,45.0,6.68,1.75,12.4,0.00,0.68,11.2,-16.68,52.52,4.8,32.68,-3.81,5.6,3.38,0.0,7.1,16.83,4.65,"
1.07",28.03,"14,85",0.18,NaN,0.3,0.39,113253000000,NaN,NaN,12707600000,8727810000,3979750000,23710200000,69350500000,43724500000,11033300000,5432520000,1299320000,NaN,NaN,NaN,NaN,4897640000,1317770000
TESA3,48.00,ON NM,30/07/2021,TERRA SANTA ON NM,17.04,Agropecuária,50.80,Agricultura,0,1389700000,30/06/2021,2252460000,28952000,0.00,-13.30,-3.61,0.00,1.62,29.64,0.00,9.41,15.9,190.02,1.01,10.7,84.54,0.52,-7.6,17.87,-11.10,5.6,79.74,-1.35,6.4,-17.80,0.0,-12.2,48.90,10.09,"
0.86",31.58,"15,25",1.04,NaN,15.5,0.52,2654670000,NaN,NaN,892457000,29688000,862769000,767448000,858223000,1379410000,260263000,147730000,17022000,NaN,NaN,NaN,NaN,-104516000,-7731000
SHOW3,4.11,ON NM,03/11/2021,TIME FOR FUN ON NM,2.34,Viagens e Lazer,7.79,Produção de Eventos e Shows,3.380.990,277067000,30/06/2021,215931000,67413000,3.53,-2.93,-1.40,2.75,1.64,2.51,-19.09,-4.75,-194.2,83.46,30.43,-641.2,3.53,0.57,-1.052.3,-36.20,2.64,-12.0,-14.50,-9.62,-21.5,3.69,0.0,-56.0,33.27,-4.56,"
1.56",90.98,"-3,70",0.79,NaN,-61.0,0.02,487740000,NaN,NaN,133270000,194406000,-61136000,293061000,168922000,9104000,1568000,-58371000,-10449000,NaN,NaN,NaN,NaN,-94578000,-14238000
TRIS3,6.26,ON NM,03/11/2021,Trisul ON NM,5.85,Construção Civil,12.50,Incorporações,11.999.100,1168230000,30/06/2021,1268670000,186618000,5.03,6.71,0.93,7.01,0.95,6.58,-17.63,5.92,36.5,-38.96,1.27,21.4,-47.64,0.52,20.7,-18.27,0.96,8.8,283.45,1.43,11.0,107.81,3.9,14.2,48.84,6.40,"
3.20",13.17,"6,43",0.39,NaN,26.8,0.41,2236050000,NaN,NaN,474984000,374546000,100438000,1761380000,1227020000,920598000,210897000,197325000,44591000,NaN,NaN,NaN,NaN,174021000,35472000
TUPY3,21.77,ON,03/11/2021,TUPY ON,19.29,Material de Transporte,26.31,Material Rodoviário,19.012.500,3138760000,30/06/2021,3916220000,144178000,2.83,13.60,1.60,4.21,1.25,17.38,3.52,6.02,17.1,3.11,0.55,9.1,4.38,0.51,4.0,-17.11,1.59,8.4,32.39,-24.33,12.8,17.10,0.6,9.2,62.23,4.46,"
2.23",-34.84,"7,51",0.82,NaN,11.5,0.92,6213280000,NaN,NaN,2043340000,1265880000,777464000,3577780000,2506480000,5709870000,1645450000,521756000,111827000,NaN,NaN,NaN,NaN,230712000,31490000
TOTS3,34.32,ON NM,03/11/2021,TOTVS ON NM,25.12,Programas e Serviços,40.60,Programas e Serviços,146.274.000,21181700000,30/06/2021,21937000000,617183000,3.69,63.28,0.54,4.76,7.78,4.41,-6.66,18.22,70.5,24.95,7.43,40.8,20.10,2.79,11.7,34.49,46.89,15.3,139.79,-12.43,18.2,-8.48,0.8,12.3,25.64,15.73,"
1.17",-19.17,"18,87",0.68,NaN,5.9,0.37,7603200000,NaN,NaN,1845660000,1090350000,755302000,3175680000,2723210000,2850890000,763375000,1162680000,313086000,NaN,NaN,NaN,NaN,334746000,78643000
TRPL3,32.95,ON N1,03/11/2021,TRANSMISSÃO PAULISTA ON N1,24.14,Energia Elétrica,33.30,Energia Elétrica,53.787,21710200000,30/09/2021,26907200000,658883000,3.65,5.79,5.69,1.63,1.49,22.07,1.89,5.00,69.8,39.60,4.94,98.7,20.21,0.77,85.6,12.99,10.01,15.4,68.22,-2.28,16.1,39.71,8.9,25.8,5.02,6.17,"
2.38",41.14,"6,20",0.44,NaN,15.7,0.16,28193900000,NaN,NaN,6404470000,1207460000,5197020000,3738590000,14543000000,4398100000,1497670000,4339520000,1032060000,NaN,NaN,NaN,NaN,3752300000,723097000
TRPL4,24.90,PN N1,03/11/2021,TRANSMISSÃO PAULISTA PN N1,22.10,Energia Elétrica,26.85,Energia Elétrica,32.035.100,16406200000,30/09/2021,21603200000,658883000,0.12,4.37,5.69,2.38,1.13,22.07,2.13,3.78,69.8,16.28,3.73,98.7,-2.77,0.58,85.6,31.26,7.56,15.4,38.19,-1.72,16.1,22.95,11.8,25.8,8.22,4.95,"
2.38",50.12,"4,98",0.44,NaN,15.7,0.16,28193900000,NaN,NaN,6404470000,1207460000,5197020000,3738590000,14543000000,4398100000,1497670000,4339520000,1032060000,NaN,NaN,NaN,NaN,3752300000,723097000
UGPA3,13.47,ON,03/11/2021,ULTRAPAR PARTICIPAÇÕES SA ON,13.02,"Petróleo, Gás e Biocombustíveis",24.10,"Exploração, Refino e Distribuição",121.779.000,15020500000,30/09/2021,27504200000,1115110000,3.46,16.76,0.80,3.22,1.53,8.78,-10.68,8.31,6.1,-16.17,0.14,1.7,-41.18,0.40,0.9,-6.03,1.88,4.8,-1.77,-1.70,7.2,-27.28,4.8,9.1,12.38,8.74,"
1.77",21.89,"15,22",1.86,NaN,5.9,2.88,37372300000,NaN,NaN,18224900000,5741170000,12483700000,18342900000,9795900000,107603000000,31911100000,1807470000,519743000,NaN,NaN,NaN,NaN,896311000,369203000
UCAS3,4.09,ON NM,03/11/2021,UNICASA ON NM,3.87,Utilidades Domésticas,5.60,Móveis,209.586,270292000,30/06/2021,231730000,66086000,-2.15,11.40,0.36,4.60,1.71,2.39,-7.05,10.75,38.5,4.54,1.47,13.6,-1.87,1.11,12.9,-4.53,4.89,10.3,81.00,7.94,13.8,11.16,5.2,15.0,0.00,6.76,"
1.85",51.21,"9,22",0.11,NaN,1.3,0.76,244174000,NaN,NaN,17062000,55624000,-38562000,120214000,158007000,184419000,48222000,25146000,4998000,NaN,NaN,NaN,NaN,23703000,5294000
TPIS3,2.25,ON NM,03/11/2021,TRIUNFO PARTICIPACOES SA ON NM,1.53,Transporte,4.83,Exploração de Rodovias,9.776.980,396000000,30/06/2021,2081060000,176000000,6.64,2.65,0.85,8.17,0.47,4.79,-16.04,-3.39,2.4,68.38,0.40,-11.7,-2.45,0.12,12.6,37.87,-0.91,-3.6,8.33,-0.18,-3.8,-49.68,1.8,17.7,6.16,5.44,"
0.31",-27.90,"-17,81",2.09,NaN,-10.4,0.31,3211110000,NaN,NaN,1763470000,78409000,1685060000,194828000,843734000,1001640000,258105000,-116860000,-38673000,NaN,NaN,NaN,NaN,149195000,-4972000
UNIP3,79.44,ON,03/11/2021,UNIPAR PARTICIPAÇÕES S.A. ON,31.78,Químicos,100.73,Químicos Diversos,3.464.510,7501760000,30/06/2021,7185310000,94433000,-1.90,7.79,10.19,-1.62,3.79,20.98,-7.42,4.92,42.3,149.24,1.56,31.7,74.97,1.53,20.2,41.19,6.19,31.1,12.12,-11.43,43.2,163.88,9.2,48.6,222.68,4.17,"
2.17",32.51,"4,71",0.39,NaN,19.5,0.98,4907630000,NaN,NaN,768559000,1085010000,-316451000,2249450000,1981560000,4808090000,1161490000,1524330000,360649000,NaN,NaN,NaN,NaN,962636000,245073000
VALE3,66.83,ON NM,03/11/2021,VALE ON NM,52.42,Mineração,106.26,Minerais Metálicos,2.564.840.000,343002000000,30/09/2021,357841000000,5132460000,-7.59,3.58,18.64,-6.68,1.89,35.32,-12.30,1.88,61.2,23.95,1.13,60.3,-10.22,0.73,31.4,70.47,16.11,38.5,6.85,-1.92,46.6,31.11,22.5,52.8,62.56,1.80,"
1.24",103.66,"1,96",0.41,NaN,27.4,0.64,472574000000,NaN,NaN,73895700000,59057200000,14838500000,108736000000,181296000000,302347000000,66260700000,182167000000,35124200000,NaN,NaN,NaN,NaN,95687000000,20203200000
USIM3,12.32,ON N1,03/11/2021,USIMINAS ON N1,10.72,Siderurgia e Metalurgia,22.71,Siderurgia,6.600.630,15437900000,30/09/2021,14222700000,1253080000,-3.30,1.88,6.56,-4.35,0.77,16.09,-25.15,1.57,34.7,5.99,0.50,31.6,-16.78,0.40,30.4,60.24,1.09,25.3,-12.66,3.10,34.0,5.90,9.1,40.8,31.24,1.31,"
3.08",114.51,"1,45",0.30,NaN,27.1,0.80,38918400000,NaN,NaN,6078220000,7293500000,-1215280000,20948600000,20164300000,31162000000,9025650000,9837240000,2820840000,NaN,NaN,NaN,NaN,8221180000,1562220000
VIVA3,27.48,ON NM,03/11/2021,VIVARA S.A. ON NM,21.90,"Tecidos, Vestuário e Calçados",34.56,Acessórios,32.061.800,6490720000,30/06/2021,6347550000,236198000,4.17,30.27,0.91,5.94,5.17,5.32,-8.12,22.88,75.1,25.91,5.56,24.3,-6.52,2.98,18.4,1.48,7.58,13.0,21.37,16.40,17.5,0.00,0.6,17.1,0.00,18.26,"
2.87",0.00,"22,38",0.23,NaN,-,0.54,2175350000,NaN,NaN,286798000,429971000,-143174000,1314480000,1256580000,1167600000,246211000,283657000,88055200,NaN,NaN,NaN,NaN,214433000,81191200
UNIP6,74.80,PNB,03/11/2021,UNIPAR PARTICIPAÇÕES S.A. PNB,28.18,Químicos,104.02,Químicos Diversos,27.982.500,7063590000,30/06/2021,6747140000,94433000,-1.36,7.34,10.19,0.17,3.56,20.98,-6.16,4.63,42.3,166.81,1.47,31.7,58.05,1.44,20.2,49.27,5.83,31.1,13.87,-10.76,43.2,173.41,10.7,48.6,278.57,3.91,"
2.17",63.76,"4,43",0.39,NaN,19.5,0.98,4907630000,NaN,NaN,768559000,1085010000,-316451000,2249450000,1981560000,4808090000,1161490000,1524330000,360649000,NaN,NaN,NaN,NaN,962636000,245073000
USIM5,12.37,PNA N1,03/11/2021,USIMINAS PNA N1,10.13,Siderurgia e Metalurgia,22.24,Siderurgia,415.735.000,15500600000,30/09/2021,14285300000,1253080000,-5.57,1.89,6.56,-6.64,0.77,16.09,-26.67,1.58,34.7,13.85,0.50,31.6,-9.76,0.40,30.4,55.06,1.10,25.3,4.74,3.11,34.0,1.79,10.0,40.8,121.89,1.32,"
3.08",187.15,"1,45",0.30,NaN,27.1,0.80,38918400000,NaN,NaN,6078220000,7293500000,-1215280000,20948600000,20164300000,31162000000,9025650000,9837240000,2820840000,NaN,NaN,NaN,NaN,8221180000,1562220000
VLID3,7.41,ON NM,03/11/2021,VALID ON NM,7.08,Serviços Diversos,11.00,Serviços Diversos,2.716.270,608139000,30/06/2021,1514970000,82070000,1.93,-7.69,-0.96,3.78,0.54,13.70,-11.15,4.82,21.7,-2.12,0.29,6.0,-16.50,0.21,-3.6,-44.70,1.31,4.4,-1.91,-1.18,5.3,2.18,0.0,-7.0,-15.51,5.42,"
1.63",-35.74,"12,02",1.11,NaN,7.7,0.72,2896770000,NaN,NaN,1246510000,339677000,906834000,1208180000,1124040000,2091610000,541122000,126048000,41270000,NaN,NaN,NaN,NaN,-79061000,-17603000
VIVR3,2.13,ON NM,03/11/2021,VIVER ON NM,0.80,Construção Civil,9.81,Incorporações,41.264.800,299116000,30/06/2021,441923000,140430000,5.45,-2.12,-1.00,12.11,-1.76,-1.21,-20.22,-9.24,9.6,103.21,4.47,-48.3,88.50,0.88,-210.8,-42.04,-1.58,-9.6,-45.53,-0.83,-12.3,-70.44,0.0,82.8,16.06,-14.53,"
0.44",-48.11,"-13,66",-1.24,NaN,70.6,0.20,338536000,NaN,NaN,210624000,67817000,142807000,148897000,-170146000,66985000,18824000,-32361000,-5294000,NaN,NaN,NaN,NaN,-140894000,2506000
VULC3,9.33,ON,03/11/2021,VULCABRAS S/A. ON,6.72,"Tecidos, Vestuário e Calçados",10.77,Calçados,9.626.400,2292900000,30/06/2021,2504740000,245756000,3.44,11.24,0.83,6.87,1.86,5.01,-13.37,17.89,31.4,43.54,1.48,8.2,16.77,1.20,13.1,-13.15,2.93,6.7,29.58,3.69,7.7,-21.98,3.8,16.6,279.17,12.66,"
2.53",25.00,"19,55",0.31,NaN,-0.5,0.81,1906150000,NaN,NaN,377133000,165295000,211838000,1294570000,1232120000,1553210000,399412000,128132000,36930000,NaN,NaN,NaN,NaN,204076000,91500000
WEGE3,37.68,ON N1,03/11/2021,WEG SA ON N1,31.12,Máquinas e Equipamentos,45.67,"Motores, Compressores e Outros",322.580.000,158155000000,30/09/2021,156848000000,4197320000,1.95,45.79,0.82,1.84,12.40,3.04,-6.20,37.21,30.8,-1.37,7.22,19.4,0.44,7.03,16.1,120.53,21.94,18.9,100.56,29.38,24.2,-3.84,1.1,27.1,58.22,33.01,"
1.96",8.70,"36,90",0.13,NaN,23.1,0.97,22500300000,NaN,NaN,1635210000,2942360000,-1307150000,14743200000,12750400000,21913200000,6198240000,4250130000,1123210000,NaN,NaN,NaN,NaN,3454120000,812925000
WSON33,67.00,DR3,22/10/2021,Wilson Sons DR3,37.08,Transporte,68.21,Serviços de Apoio e Armazenagem,1.327.540,4771740000,30/06/2021,7099220000,71220000,0.00,18.25,3.67,0.00,2.22,30.17,3.08,5.46,52.6,77.28,2.41,44.1,57.13,0.90,13.6,10.26,30.32,16.6,18.46,-2.01,18.4,5.12,4.4,12.2,24.90,8.13,"
1.26",7.50,"8,13",1.21,NaN,5.2,0.38,5276760000,NaN,NaN,2595020000,267538000,2327480000,755628000,2148530000,1978910000,509998000,873513000,224910000,NaN,NaN,NaN,NaN,261485000,118488000
WIZS3,10.03,ON NM,03/11/2021,WIZ S.A. ON NM,5.62,Previdência e Seguros,18.54,Corretoras de Seguros,40.922.800,1603870000,30/06/2021,1315090000,159907000,-0.99,6.65,1.51,3.94,3.86,2.60,-19.89,3.59,72.3,25.20,1.73,48.1,34.07,1.60,27.3,-37.90,26.83,44.5,130.35,-10.12,68.3,-37.19,6.1,58.1,-10.54,2.69,"
1.17",51.53,"2,94",-,NaN,17.1,0.92,1003790000,NaN,NaN,0,288778000,-288778000,411363000,415181000,928469000,220313000,446772000,111517000,NaN,NaN,NaN,NaN,241134000,69043000
WHRL4,8.06,PN,03/11/2021,WHIRLPOOL S.A. PN,6.67,Utilidades Domésticas,9.35,Eletrodomésticos,111.368,12112500000,30/06/2021,10748900000,1502790000,-2.66,12.48,0.65,-6.28,6.06,1.33,-5.62,10.32,19.6,20.68,1.10,10.7,1.38,1.53,8.8,-7.47,16.39,14.8,119.01,47.67,55.9,5.65,6.0,48.5,77.20,7.79,"
1.14",32.98,"9,16",0.38,NaN,3.8,1.39,7918650000,NaN,NaN,754672000,2118190000,-1363520000,6171210000,1998990000,10988900000,2654750000,1173140000,214572000,NaN,NaN,NaN,NaN,970288000,223548000
YDUQ3,22.64,ON,03/11/2021,YDUQS PART ON,20.86,Diversos,36.55,Serviços Educacionais,68.872.000,6997770000,30/06/2021,10131800000,309089000,6.84,41.28,0.55,8.53,2.15,10.55,-9.33,15.06,54.3,0.33,1.67,11.1,-30.13,0.73,4.1,-29.56,6.37,4.8,103.69,-2.12,6.2,-22.47,2.1,5.2,111.53,9.23,"
1.56",28.34,"21,80",1.56,NaN,5.1,0.43,9641200000,NaN,NaN,5101390000,1967380000,3134000000,3075840000,3261920000,4182340000,1160640000,464740000,191111000,NaN,NaN,NaN,NaN,169525000,116465000
